Year,Appendix,Taxon,Class,Order,Family,Genus,Importer,Importer reported quantity,Term,Unit,Purpose,Source
2020,II,Buteo jamaicensis,Aves,Falconiformes,Accipitridae,Buteo,NL,6,feathers,,E,O
2020,II,Buteo jamaicensis,Aves,Falconiformes,Accipitridae,Buteo,CN,1,bodies,Number of specimens,T,W
2020,II,Buteo polyosoma,Aves,Falconiformes,Accipitridae,Buteo,JP,1,live,Number of specimens,T,C
2020,II,Buteo regalis,Aves,Falconiformes,Accipitridae,Buteo,JP,1,live,Number of specimens,T,C
2020,II,Buteo regalis,Aves,Falconiformes,Accipitridae,Buteo,JP,1,live,Number of specimens,T,C
2020,II,Buteo regalis,Aves,Falconiformes,Accipitridae,Buteo,JP,1,live,Number of specimens,T,C
2020,II,Buteo regalis,Aves,Falconiformes,Accipitridae,Buteo,JP,1,live,Number of specimens,T,C
2020,II,Buteo rufinus,Aves,Falconiformes,Accipitridae,Buteo,JP,1,live,Number of specimens,T,C
2020,II,Buteo rufofuscus,Aves,Falconiformes,Accipitridae,Buteo,JP,1,live,Number of specimens,T,C
2020,II,Buteo buteo,Aves,Falconiformes,Accipitridae,Buteo,CN,2,specimens,Number of specimens,T,W
2020,II,Buteo regalis,Aves,Falconiformes,Accipitridae,Buteo,JP,2,live,Number of specimens,T,C
2020,II,Buteo regalis,Aves,Falconiformes,Accipitridae,Buteo,JP,2,live,Number of specimens,T,F
2020,II,Buteo rufinus,Aves,Falconiformes,Accipitridae,Buteo,JP,2,live,Number of specimens,T,C
2020,II,Buteo hybrid,Aves,Falconiformes,Accipitridae,Buteo,JP,3,live,Number of specimens,T,C
2020,II,Buteo jamaicensis,Aves,Falconiformes,Accipitridae,Buteo,JP,3,live,Number of specimens,T,C
2020,II,Buteo regalis,Aves,Falconiformes,Accipitridae,Buteo,JP,3,live,Number of specimens,T,C
2020,II,Buteo rufofuscus,Aves,Falconiformes,Accipitridae,Buteo,CN,3,specimens,Number of specimens,T,W
2020,II,Buteo jamaicensis,Aves,Falconiformes,Accipitridae,Buteo,JP,4,live,Number of specimens,T,C
2020,II,Buteo jamaicensis,Aves,Falconiformes,Accipitridae,Buteo,JP,5,live,Number of specimens,T,C
2020,II,Buteogallus urubitinga,Aves,Falconiformes,Accipitridae,Buteogallus,FR,0.1429,carvings,Number of specimens,Q,O
2020,II,Geranoaetus melanoleucus,Aves,Falconiformes,Accipitridae,Geranoaetus,JP,1,live,Number of specimens,T,F
2020,II,Geranoaetus melanoleucus,Aves,Falconiformes,Accipitridae,Geranoaetus,JP,2,live,Number of specimens,T,C
2020,II,Geranoaetus melanoleucus,Aves,Falconiformes,Accipitridae,Geranoaetus,JP,2,live,Number of specimens,T,C
2020,II,Geranoaetus melanoleucus,Aves,Falconiformes,Accipitridae,Geranoaetus,JP,2,live,Number of specimens,T,F
2020,II,Geranoaetus melanoleucus,Aves,Falconiformes,Accipitridae,Geranoaetus,JP,3,live,Number of specimens,T,C
2020,II,Geranospiza caerulescens,Aves,Falconiformes,Accipitridae,Geranospiza,FR,0.1429,carvings,Number of specimens,Q,O
2020,II,Gypaetus barbatus,Aves,Falconiformes,Accipitridae,Gypaetus,AT,1,live,,Z,F
2020,II,Gyps fulvus,Aves,Falconiformes,Accipitridae,Gyps,JP,2,live,Number of specimens,T,C
2020,II,Gyps himalayensis,Aves,Falconiformes,Accipitridae,Gyps,DE,5,live,,T,F
2021,II,Gyps himalayensis,Aves,Falconiformes,Accipitridae,Gyps,DE,5,live,Number of specimens,T,F
2021,II,Gyps fulvus,Aves,Falconiformes,Accipitridae,Gyps,CZ,1,live,,Z,F
2021,II,Gyps fulvus,Aves,Falconiformes,Accipitridae,Gyps,SK,1,live,,Z,F
2020,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,IE,20,live,,N,W
2020,II,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,BE,1,bodies,Number of specimens,P,W
2020,II,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,NZ,10,feathers,Number of specimens,P,W
2020,II,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,1,live,,T,C
2020,II,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,JP,1,live,Number of specimens,T,C
2020,II,Haliaeetus pelagicus,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,1,live,,T,C
2020,II,Haliaeetus pelagicus,Aves,Falconiformes,Accipitridae,Haliaeetus,NL,1,live,,T,C
2020,II,Haliaeetus pelagicus,Aves,Falconiformes,Accipitridae,Haliaeetus,SE,1,live,,Z,C
2020,II,Haliaeetus pelagicus,Aves,Falconiformes,Accipitridae,Haliaeetus,SE,1,live,,Z,F
2021,II,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,SK,1,live,,Z,C
2021,II,Haliaeetus pelagicus,Aves,Falconiformes,Accipitridae,Haliaeetus,GR,1,live,,Z,C
2020,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,DE,2,live,,B,F
2020,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,FR,2,live,Number of specimens,Z,C
2021,II,Hieraaetus spilogaster,Aves,Falconiformes,Accipitridae,Hieraaetus,DE,2,live,Number of specimens,T,F
2020,II,Lophaetus occipitalis,Aves,Falconiformes,Accipitridae,Lophaetus,PL,1,derivatives,,H,W
2020,II,Melierax canorus,Aves,Falconiformes,Accipitridae,Melierax,FR,1,bodies,Number of specimens,T,W
2020,II,Micronisus gabar,Aves,Falconiformes,Accipitridae,Micronisus,JP,1,live,Number of specimens,T,C
2020,II,Milvus migrans,Aves,Falconiformes,Accipitridae,Milvus,NL,4,claws,,E,O
2020,II,Milvus migrans,Aves,Falconiformes,Accipitridae,Milvus,NL,1,live,,T,C
2020,II,Milvus milvus,Aves,Falconiformes,Accipitridae,Milvus,NL,1,live,,T,C
2020,II,Parabuteo unicinctus,Aves,Falconiformes,Accipitridae,Parabuteo,AE,1,live,Number of specimens,P,C
2021,II,Parabuteo unicinctus,Aves,Falconiformes,Accipitridae,Parabuteo,DE,2,live,Number of specimens,P,C
2020,II,Parabuteo unicinctus,Aves,Falconiformes,Accipitridae,Parabuteo,JP,1,live,Number of specimens,T,C
2020,II,Parabuteo unicinctus,Aves,Falconiformes,Accipitridae,Parabuteo,JP,1,live,Number of specimens,T,C
2020,II,Parabuteo unicinctus,Aves,Falconiformes,Accipitridae,Parabuteo,QA,1,live,Number of specimens,T,C
2020,II,Parabuteo unicinctus,Aves,Falconiformes,Accipitridae,Parabuteo,JP,7,live,Number of specimens,T,C
2020,II,Parabuteo unicinctus,Aves,Falconiformes,Accipitridae,Parabuteo,JP,15,live,Number of specimens,T,C
2020,II,Parabuteo unicinctus,Aves,Falconiformes,Accipitridae,Parabuteo,JP,18,live,Number of specimens,T,C
2020,II,Polemaetus bellicosus,Aves,Falconiformes,Accipitridae,Polemaetus,PL,1,trophies,,H,W
2020,II,Polemaetus bellicosus,Aves,Falconiformes,Accipitridae,Polemaetus,JP,1,bodies,Number of specimens,T,W
2020,II,Trigonoceps occipitalis,Aves,Falconiformes,Accipitridae,Trigonoceps,FR,1,live,Number of specimens,Z,W
2020,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,NZ,0.016,cosmetics,g,P,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,NZ,0.206,cosmetics,g,P,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,NZ,0.322,cosmetics,g,P,C
2020,I,Acipenser brevirostrum,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,SG,0.8,caviar,kg,P,D
2020,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,1,skins,,Q,I
2020,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,GB,1,skins,Number of specimens,Q,O
2020,II,Acipenser oxyrinchus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,3,bones,,Q,W
2020,II,Acipenser spp.,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,0.18,specimens,kg,S,U
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,FR,0.76,caviar,kg,S,C
2020,II,Acipenser oxyrinchus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,PL,1,eggs (live),kg,S,C
2020,II,Acipenser nudiventris,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,8,specimens,Number of specimens,S,U
2020,II,Acipenser nudiventris,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,IT,8,specimens,,S,W
2021,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,10,specimens,Number of specimens,S,U
2021,II,Acipenser stellatus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,15,specimens,Number of specimens,S,W
2021,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,20,specimens,Number of specimens,S,W
2020,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CN,0.00005,cosmetics,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,FR,0.00036,extract,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.001,cosmetics,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.001,cosmetics,kg,T,C
2020,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.001,cosmetics,kg,T,C
2020,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.002,cosmetics,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.003,cosmetics,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.004,cosmetics,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CN,0.0043191,cosmetics,ml,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KR,0.0071,extract,g,T,C
2020,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.008,extract,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KY,0.009,caviar,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,JP,0.00984,cosmetics,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KR,0.01,extract,g,T,C
2021,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,0.011,cosmetics,g,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,EE,0.01268,cosmetics,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,FR,0.018,extract,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KR,0.021,extract,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.022,cosmetics,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,NZ,0.024,cosmetics,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,FR,0.03,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CN,0.03,cosmetics,g,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,FR,0.03,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.034,extract,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,AT,0.037,cosmetics,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.039,cosmetics,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,FR,0.04,extract,kg,T,C
2020,II,Acipenser baerii x gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,TH,0.04,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KR,0.041,extract,Number of specimens,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.047,cosmetics,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,MO,0.049,cosmetics,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CN,0.05,cosmetics,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KR,0.05,extract,Number of specimens,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KR,0.05,extract,Number of specimens,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.052,cosmetics,kg,T,C
2020,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.055,cosmetics,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KR,0.0572,extract,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,JP,0.06,cosmetics,g,T,C
2020,II,Acipenser baerii x naccarii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.06,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.06,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,AW,0.065,cosmetics,g,T,W
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CN,0.068436,cosmetics,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,0.07894,cosmetics,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CN,0.081867,cosmetics,kg,T,C
2021,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,0.085,cosmetics,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,JP,0.09,extract,g,T,C
2020,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,AW,0.09,cosmetics,g,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,VN,0.096,cosmetics,g,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,0.097,cosmetics,g,T,C
2020,II,Acipenser stellatus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,FR,0.1,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,FR,0.103,extract,kg,T,C
2020,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.105,cosmetics,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.107,cosmetics,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,SG,0.113,cosmetics,g,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.12,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,SG,0.124,cosmetics,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,JP,0.125,derivatives,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KR,0.127,extract,Number of specimens,T,C
2020,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,TH,0.13,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KY,0.132,caviar,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.15,caviar,kg,T,C
2020,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,FR,0.15,caviar,kg,T,F
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,JP,0.16,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,JP,0.16,caviar,kg,T,C
2020,II,Acipenser naccarii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,SG,0.16,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KR,0.167,extract,Number of specimens,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,NZ,0.17,extract,g,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.19,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,JP,0.191,cosmetics,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.193,cosmetics,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.2,cosmetics,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,IT,0.2,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,SG,0.207,cosmetics,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.221,cosmetics,g,T,C
2020,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,FR,0.222,cosmetics,g,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,MO,0.2369,cosmetics,g,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KR,0.25,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,SG,0.25,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KR,0.25,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,SG,0.259,cosmetics,g,T,C
2020,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.261,cosmetics,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,VN,0.296,cosmetics,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,JP,0.3,extract,kg,T,C
2020,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,TH,0.318,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,MO,0.3217,cosmetics,g,T,C
2020,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,NZ,0.325,cosmetics,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,FR,0.375,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,FR,0.39,caviar,kg,T,C
2020,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KR,0.447,extract,ml,T,C
2020,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,VN,0.448,cosmetics,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,SG,0.483,cosmetics,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,FR,0.5,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KR,0.5,meat,Number of specimens,T,C
2020,II,Acipenser baerii x gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KR,0.5,meat,Number of specimens,T,C
2020,II,Acipenser baerii x naccarii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KR,0.5,meat,Number of specimens,T,C
2020,II,Acipenser stellatus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,JP,0.5,caviar,kg,T,C
2020,II,Acipenser stellatus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,MY,0.5,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,SG,0.508,cosmetics,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.535,cosmetics,kg,T,C
2020,II,Acipenser ruthenus x huso huso,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.55,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,TH,0.555,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,AW,0.563,cosmetics,g,T,W
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,0.583,cosmetics,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.62,cosmetics,kg,T,C
2021,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,0.657,cosmetics,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.7,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.7,caviar,kg,T,C
2020,II,Acipenser stellatus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,JP,0.7,caviar,kg,T,C
2020,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.7,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,FR,0.75,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.752,cosmetics,kg,T,C
2021,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,IS,0.79,cosmetics,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,AE,0.805,derivatives,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,0.81,caviar,kg,T,C
2020,II,Acipenser stellatus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,SG,0.81,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,TH,0.82,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,FR,0.86,caviar,kg,T,C
2021,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CZ,0.9,cosmetics,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,0.901,cosmetics,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KR,0.92,extract,Number of specimens,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,0.949,cosmetics,g,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,0.965,cosmetics,g,T,C
