Year,Appendix,Taxon,Class,Order,Family,Genus,Exporter,Exporter reported quantity,Term,Unit,Purpose,Source
2020,II,Acanthastrea echinata,Anthozoa,Scleractinia,Mussidae,Acanthastrea,CZ,130,live,,T,C
2020,II,Acanthastrea echinata,Anthozoa,Scleractinia,Mussidae,Acanthastrea,GR,130,skins,,T,W
2020,II,Acanthastrea echinata,Anthozoa,Scleractinia,Mussidae,Acanthastrea,CZ,130,live,,T,C
2020,II,Acanthastrea echinata,Anthozoa,Scleractinia,Mussidae,Acanthastrea,BJ,130,live,,T,R
2020,II,Acanthastrea echinata,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,130,derivatives,Number of specimens,T,C
2020,II,Acanthastrea echinata,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,130,derivatives,Number of specimens,T,F
2020,II,Acanthastrea echinata,Anthozoa,Scleractinia,Mussidae,Acanthastrea,JP,131,leather products (small),Number of specimens,T,R
2020,II,Acanthastrea echinata,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IT,131,garments,,T,R
2020,II,Acanthastrea echinata,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ES,131,live,,T,C
2020,II,Acanthastrea echinata,Anthozoa,Scleractinia,Mussidae,Acanthastrea,CZ,131,live,,T,C
2020,II,Acanthastrea hillae,Anthozoa,Scleractinia,Mussidae,Acanthastrea,TH,131,live,Number of specimens,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ZW,133,tusks,kg,H,W
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ZM,134,ivory carvings,Number of specimens,P,O
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,SG,132,specimens,Number of specimens,S,U
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,SG,134,specimens,Number of specimens,S,U
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,131,derivatives,,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,131,live,Number of specimens,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,FR,131.718,caviar,kg,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,BO,131.9,sides,kg,T,W
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ES,132,live,,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,AE,132,live,Number of specimens,T,D
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,AT,132,leather products (small),,T,W
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,FR,132,leather products (small),Number of specimens,T,W
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,132,live,,T,F
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,132,live,,T,F
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,132,live,,T,F
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,132,bodies,,T,
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,CZ,132,live,,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,132,live,,T,W
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,132,hair products,g,T,W
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,133,live,,T,F
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ZA,133,live,,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ZW,133,skin pieces,Number of specimens,T,W
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,133,live,,T,W
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,133,live,,T,W
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ZA,133,live,,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,BE,133,live,Number of specimens,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IT,133,leather products (small),,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,TH,133,live,Number of specimens,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,CZ,133,live,,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,FR,133.5,leather products (small),Number of specimens,T,W
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IT,133.845,caviar,kg,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ES,134,leather products (small),,T,W
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,AE,134,leather products (small),Number of specimens,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,JP,134,skins,Number of specimens,T,R
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IT,134,leather products (small),,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,134,live,,T,F
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,BE,134,live,Number of specimens,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IT,134,skins,,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,SG,134,leather products (small),Number of specimens,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ES,134,leather products (small),,T,W
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,GB,134,leather products (small),Number of specimens,T,W
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,134,live,Number of specimens,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,FR,134.197,cosmetics,g,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,FR,134.5,leather products (small),Number of specimens,T,W
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,135,cosmetics,g,T,C
2020,II,Acanthastrea lordhowensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IT,135,skin pieces,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,JP,123,specimens,ml,M,O
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,RU,126,live,,P,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,CZ,120,live,,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,120,live,Number of specimens,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,120.08,cosmetics,g,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,SG,120.514,cosmetics,g,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,120.55,derivatives,,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,GB,121,leather products (small),Number of specimens,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IE,121,leather products (small),,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IT,121,garments,,T,R
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,JP,121,skins,Number of specimens,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,JO,121,live,,T,
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,121,live,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,121,live,,T,F
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,UY,121,specimens,Number of specimens,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,VN,121,raw corals,Number of specimens,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ZA,121,live,,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,121,live,,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,FR,121,leather products (small),Number of specimens,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,HK,122,leather products (small),Number of specimens,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,122,live,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,122,live,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,122,live,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ZA,122,live,,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,NL,122,live,,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IT,122,leather products (small),,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IT,122,leather products (small),,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,CO,122,live,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,CN,122.5,caviar,kg,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,FR,123,leather products (small),Number of specimens,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,123,leather products (small),,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,FR,123,garments,Number of specimens,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,FR,123,leather products (small),Number of specimens,T,R
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,123,live,,T,F
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,123,live,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,GR,123,skins,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,123.968,caviar,kg,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,TH,124,leather products (small),Number of specimens,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,124,live,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IT,124,leather products (small),,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,124,live,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ZA,124,live,,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,124,live,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IT,124,leather products (small),,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,VN,124,live,Number of specimens,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ES,124,skins,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ES,124,leather products (small),,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,NL,124,live,,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,CZ,124,leather products (small),,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,GB,124.277,caviar,kg,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,PL,124.98,caviar,kg,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,KR,125,skins,Number of specimens,T,D
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IT,125,skins,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,MY,125,skins,Number of specimens,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,125,live,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IT,125,specimens,,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IT,125,leather products (small),,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,125,live,,T,F
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,125,live,,T,F
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,125,live,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,125,live,,T,F
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,HK,125,garments,Number of specimens,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ZA,125,live,,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,125,live,,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,125,skins,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,TH,125,live,Number of specimens,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,AT,125,live,,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,125,live,Number of specimens,T,R
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,125.24164,cosmetics,g,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,125.29,caviar,kg,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,125.69539,cosmetics,g,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,126,live,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,126,live,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,126,bodies,,T,
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,126,live,,T,F
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,126,live,,T,F
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,126,live,,T,F
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,LK,126,live,Number of specimens,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,AR,126,live,Number of specimens,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ZA,126,live,,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,GY,126,live,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,126,live,,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ES,126,skins,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,BE,126,live,Number of specimens,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,126,leather products (small),Number of specimens,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,FR,126.0000002,leather products (small),Number of specimens,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,126.295,hair products,g,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IT,127,leather products (small),,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,AT,127,leather products (small),,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,TH,127,leather products (small),Number of specimens,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,127,live,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,127,live,,T,F
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,127,live,,T,F
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ES,127,skin pieces,,T,R
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,SG,127,leather products (small),Number of specimens,T,R
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,CA,127,skins,Number of specimens,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,BE,127,live,Number of specimens,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,FR,127,leather products (small),Number of specimens,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,127,leather products (small),,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,FR,127.241,caviar,kg,T,C
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IT,128,garments,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,128,live,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,GR,128,garments,,T,W
2020,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,SD,128,live,,Unspecified,W
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,ZW,138,tusks,kg,H,W
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,JP,135,specimens,g,M,O
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,CA,137.25,specimens,ml,M,C
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,FR,138,specimens,ml,M,C
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,CA,135,live,Number of specimens,T,C
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,ID,135,live,,T,F
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,ID,135,live,,T,W
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,ID,135,live,,T,W
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,DE,135,leather products (small),,T,W
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,TH,135,live,Number of specimens,T,C
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,CZ,135,live,,T,C
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,DE,135,derivatives,Number of specimens,T,C
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,CN,135.24,caviar,kg,T,C
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,PT,136,skin pieces,,T,W
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,MY,136,leather products (small),Number of specimens,T,C
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,IT,136,leather products (small),,T,R
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,DE,136,leather products (small),Number of specimens,T,W
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,DE,136,derivatives,Number of specimens,T,C
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,DE,136.19336,cosmetics,g,T,C
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,ES,137,live,,T,D
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,ZM,137,skin pieces,Number of specimens,T,C
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,ID,137,live,,T,F
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,ID,137,live,,T,F
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,ID,137,live,,T,W
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,AE,137,leather products (small),Number of specimens,T,C
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,FR,137,leather products (small),Number of specimens,T,C
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,DE,137,live,Number of specimens,T,C
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,DE,137,derivatives,Number of specimens,T,C
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,BE,137.89,caviar,kg,T,C
2020,II,Acanthophyllia deshayesiana,Anthozoa,Scleractinia,Mussidae,Acanthophyllia,MY,138,leather products (small),Number of specimens,T,W
