Year,Appendix,Taxon,Class,Order,Family,Genus,Importer,Exporter,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,I-DK,E-GL,500,500,baleen,g,P,W
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,I-DK,E-GL,1,,baleen,kg,P,I
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,I-DK,E-GL,5,5,baleen,kg,P,W
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,I-DK,E-GL,,3,baleen,m,P,W
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,I-DK,E-GL,,1,baleen,Number of specimens,P,W
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,I-FR,E-CA,1,,bone carvings,Number of specimens,P,O
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,I-SE,E-GL,,1,baleen,Number of specimens,P,W
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,I-CH,E-CA,,2,baleen,Number of specimens,Q,W
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,I-CH,E-CA,,2,bone carvings,Number of specimens,Q,O
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,I-CN,E-GB,,1,baleen,Number of specimens,Q,O
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,I-CN,E-GB,1,,bone carvings,Number of specimens,Q,O
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,I-CN,E-GB,4,4,garments,Number of specimens,Q,O
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,I-GB,E-RU,1,,bone carvings,Number of specimens,Q,O
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,I-KR,E-US,1,,carvings,Number of specimens,Q,O
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,I-GB,E-RU,,1,bone carvings,,Unspecified,O
2020,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,I-AE,E-FR,1,,bone carvings,Number of specimens,Q,O
2020,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,I-FR,E-AE,,1,bone carvings,Number of specimens,Q,O
2020,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,I-JP,E-SE,2,,bone carvings,Number of specimens,Q,O
2020,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,I-AU,E-GB,,1,baleen,Number of specimens,S,O
2020,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,I-AU,E-GB,,4,bone carvings,Number of specimens,S,O
2020,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,I-GB,E-CH,1,,baleen,Number of specimens,T,O
2020,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-FO,E-NO,,900,meat,kg,T,W
2020,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-IS,E-NO,,1224,meat,kg,T,W
2020,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-JP,E-NO,202286.9,415260,meat,kg,T,W
2020,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-GB,E-FK,1,,baleen,Number of specimens,S,W
2020,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-GB,E-FK,,0.26,bones,kg,S,W
2020,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-GB,E-FK,,0.4,bone pieces,kg,S,W
2020,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-GB,E-FK,1,,plates,Number of specimens,S,W
2020,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-GB,E-FK,,0.009,skin pieces,kg,S,W
2020,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-GB,E-FK,2,,skin pieces,Number of specimens,S,W
2020,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-GB,E-FK,,0.125,specimens,kg,S,W
2020,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-GB,E-FK,5,,specimens,Number of specimens,S,W
2020,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-JP,E-HS,40,,skin pieces,g,S,X
2020,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-GB,E-FK,6,,baleen,Number of specimens,S,W
2020,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-GB,E-FK,,0.875,bones,kg,S,W
2020,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-GB,E-FK,,0.604,bone pieces,kg,S,W
2020,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-GB,E-FK,7,,plates,Number of specimens,S,W
2020,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-GB,E-FK,,0.024,skin pieces,kg,S,W
2020,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-GB,E-FK,8,,skin pieces,Number of specimens,S,W
2020,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-GB,E-FK,,1.452,specimens,kg,S,W
2020,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-GB,E-FK,21,,specimens,Number of specimens,S,W
2020,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-JP,E-HS,260,,skin pieces,g,S,X
2020,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-ZA,E-NA,1,,skeletons,,E,W
2020,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-DK,E-ZA,,1,specimens,,S,W
2020,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-JP,E-HS,5,,skin pieces,g,S,X
2020,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-CA,E-IS,,15,specimens,g,S,W
2020,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-GB,E-GS,40,,specimens,Number of specimens,S,W
2020,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-JP,E-HS,125,,skin pieces,g,S,X
2020,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-US,E-NO,,5,specimens,ml,M,W
2020,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-JP,E-HS,155,,skin pieces,g,S,X
2020,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-NL,E-IS,,3.5,meat,kg,S,W
2020,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-JP,E-IS,,1235000,meat,kg,T,W
2020,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,I-GB,E-FK,,3.706,bones,kg,S,W
2020,I,Boa constrictor occidentalis,Reptilia,Serpentes,Boidae,Boa,I-CH,E-DE,,2,live,,T,C
2020,I,Bos gaurus,Mammalia,Artiodactyla,Bovidae,Bos,I-QA,E-GB,,1,horn carvings,Number of specimens,T,O
2020,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,I-BD,E-NL,,58,live,,T,C
2020,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,I-CY,E-AE,2,,live,,T,W
2020,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,I-GB,E-SG,2,,carvings,Number of specimens,T,O
2020,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,I-CY,E-AE,,2,live,Number of specimens,Z,C
2020,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,I-SG,E-CZ,1,,live,Number of specimens,Z,C
2020,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,I-SG,E-CZ,,1,live,,Z,C
2020,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,I-LB,E-ZA,,1,live,,B,C
2020,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,I-DE,E-US,1,,live,,P,F
2020,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,I-GB,E-US,1,,live,Number of specimens,P,F
2020,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,I-GB,E-ZA,,1,live,,P,U
2020,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,I-MX,E-CA,,1,live,Number of specimens,P,F
2020,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,I-US,E-GB,,1,live,Number of specimens,P,F
2020,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,I-XV,E-CA,,1,live,Number of specimens,P,F
2020,I,Cacatua haematuropygia,Aves,Psittaciformes,Cacatuidae,Cacatua,I-JO,E-ZA,,1,live,,B,C
2020,I,Cacatua haematuropygia,Aves,Psittaciformes,Cacatuidae,Cacatua,I-BD,E-ZA,,1,live,,P,C
2020,I,Cacatua hybrid,Aves,Psittaciformes,Cacatuidae,Cacatua,I-BD,E-PT,,1,live,,T,C
2020,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,I-AE,E-ZA,,2,live,,B,C
2020,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,I-DE,E-PH,,1,live,,B,C
2020,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,I-KW,E-ZA,,3,live,,B,C
2020,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,I-LB,E-ZA,,10,live,,B,C
2020,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,I-QA,E-ZA,,4,live,,B,C
2020,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,I-AE,E-ZA,2,,live,Number of specimens,P,C
2020,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,I-ME,E-RU,,1,live,,P,C
2020,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,I-QA,E-ZA,2,,live,Number of specimens,P,C
2020,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,I-US,E-CA,,1,live,Number of specimens,P,F
2020,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,I-BD,E-ZA,,3,live,,T,C
2020,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,I-JP,E-SG,1,,live,Number of specimens,T,D
2020,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,I-QA,E-BE,1,,live,Number of specimens,T,C
2020,I,Cacatua spp.,Aves,Psittaciformes,Cacatuidae,Cacatua,I-IT,E-IR,,1,live,,P,C
2020,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,I-DE,E-CH,4,,live,,P,C
2020,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,I-GB,E-AE,1,1,live,Number of specimens,P,C
2020,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,I-HK,E-SG,,1,live,Number of specimens,P,C
2020,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,I-RU,E-UA,1,,live,,P,C
2020,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,I-KZ,E-RU,,2,live,,Q,C
2020,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,I-AE,E-AT,,2,live,,T,C
2020,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,I-AE,E-AT,2,,live,Number of specimens,T,C
2020,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,I-BD,E-ZA,,1,live,,T,D
2020,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,I-LB,E-ZA,,12,live,,T,C
2020,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,I-TW,E-SG,,1,live,Number of specimens,T,D
2020,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,I-GB,E-GG,,1,live,Number of specimens,Z,C
2020,I,Cacatuidae spp.,Aves,Psittaciformes,Cacatuidae,,I-IT,E-IR,,1,live,,P,C
2020,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,I-TH,E-CZ,2,,live,,B,C
2020,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,I-TH,E-CZ,,2,live,,T,C
2020,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,I-RU,E-DE,1,,live,,Z,C
2020,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,I-SG,E-ES,1,,live,Number of specimens,Z,C
2020,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,I-SG,E-ES,1,,live,Number of specimens,Z,C
2020,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,I-SG,E-ES,,4,live,,Z,C
2020,I,Caloenas nicobarica,Aves,Columbiformes,Columbidae,Caloenas,I-MY,E-ZA,24,,live,Number of specimens,B,C
2020,I,Caloenas nicobarica,Aves,Columbiformes,Columbidae,Caloenas,I-MY,E-ZA,,36,live,,B,C
2020,I,Caloenas nicobarica,Aves,Columbiformes,Columbidae,Caloenas,I-CN,E-GB,1,,bodies,Number of specimens,E,C
2020,I,Caloenas nicobarica,Aves,Columbiformes,Columbidae,Caloenas,I-KW,E-BH,,24,live,Number of specimens,T,C
2020,I,Caloenas nicobarica,Aves,Columbiformes,Columbidae,Caloenas,I-PL,E-SG,8,,live,,Z,F
2020,I,Canis lupus,Mammalia,Carnivora,Canidae,Canis,I-HU,E-CA,1,,trophies,,P,W
2020,I,Canis lupus,Mammalia,Carnivora,Canidae,Canis,I-CN,E-GB,1,,garments,Number of specimens,Q,O
2020,I,Canis lupus,Mammalia,Carnivora,Canidae,Canis,I-US,E-PK,,35,specimens,,S,W
2020,I,Canis lupus,Mammalia,Carnivora,Canidae,Canis,I-US,E-SI,,32,teeth,Number of specimens,S,W
2020,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,I-AR,E-US,1,,trophies,Number of specimens,H,F
2020,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,I-AT,E-PK,,1,trophies,,H,W
2020,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,I-ES,E-PK,,1,trophies,,H,W
2020,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,I-FR,E-TJ,1,,trophies,Number of specimens,H,W
2020,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,I-RU,E-PK,3,3,trophies,,H,W
2020,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,I-US,E-PK,,5,trophies,,H,W
2020,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,I-CA,E-US,1,,live,Number of specimens,Z,F
2020,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,I-KZ,E-RU,,1,live,,Z,C
2020,I,Capra falconeri heptneri,Mammalia,Artiodactyla,Bovidae,Capra,I-TR,E-SK,2,2,bodies,,H,C
2020,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,I-AU,E-PG,,1,shells,Number of specimens,P,W
2020,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,I-US,E-CA,,1,carapaces,Number of specimens,P,O
2020,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,I-FR,E-AE,,1,carvings,Number of specimens,Q,O
2020,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,I-ES,E-IL,62,200,specimens,,S,W
2020,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,I-GB,E-CA,1,,carvings,Number of specimens,T,O
2020,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,I-GB,E-CH,2,,carvings,Number of specimens,T,O
2020,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,I-HK,E-GB,,2,carvings,Number of specimens,T,O
2020,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,I-SA,E-FR,,1,carvings,Number of specimens,T,O
2020,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,I-US,E-GB,,1,skulls,Number of specimens,T,O
2020,I,Cercopithecus diana,Mammalia,Primates,Cercopithecidae,Cercopithecus,I-DE,E-CI,1,,skulls,,S,W
2020,I,Cercopithecus diana,Mammalia,Primates,Cercopithecidae,Cercopithecus,I-DE,E-CI,1,,specimens,,S,W
2020,I,Cercopithecus diana,Mammalia,Primates,Cercopithecidae,Cercopithecus,I-RU,E-CZ,1,,live,,Z,C
2020,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,I-CA,E-FR,,1,carvings,Number of specimens,P,O
2020,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,I-FJ,E-NZ,,1,carapaces,Number of specimens,P,O
2020,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,I-JP,E-SE,2,,bone carvings,Number of specimens,Q,O
2020,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,I-AU,E-VU,,15,specimens,,S,W
2020,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,I-CL,E-PE,600,,skins,g,S,W
2020,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,I-FR,E-FR,,1100,specimens,Number of specimens,S,W
2020,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,I-US,E-AI,,1,specimens,Number of specimens,S,W
2020,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,I-US,E-CR,,1853,specimens,Number of specimens,S,W
2020,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,I-FR,E-CH,1,,carvings,Number of specimens,T,O
2020,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,I-GB,E-LB,3,,carvings,Number of specimens,T,O
2020,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,I-KP,E-MY,,2,specimens,Number of specimens,T,R
2020,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,I-US,E-FR,,1,carvings,Number of specimens,T,O
2020,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,I-US,E-GB,,1,carvings,Number of specimens,T,O
2020,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,I-US,E-GB,,1,skulls,Number of specimens,T,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-GB,E-HK,,1,carvings,Number of specimens,P,U
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-JE,E-GB,5,3,carvings,Number of specimens,P,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-US,E-JP,,1,carvings,Number of specimens,P,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-CH,E-GB,,1,carvings,Number of specimens,Q,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-GB,E-CH,1,,carvings,Number of specimens,Q,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-CA,E-GB,1,3,carvings,Number of specimens,T,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-CH,E-FR,,2,carvings,Number of specimens,T,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-CH,E-GB,,2,carvings,Number of specimens,T,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-CH,E-HK,,1,leather products (large),Number of specimens,T,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-DE,E-CH,2,,carvings,,T,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-FR,E-CH,68,,carvings,Number of specimens,T,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-GB,E-CH,3,,carvings,Number of specimens,T,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-GB,E-JE,1,1,carvings,Number of specimens,T,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-HK,E-CH,1,,leather products (large),Number of specimens,T,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-HK,E-CH,2,,leather products (small),Number of specimens,T,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-HK,E-FR,1,1,carvings,Number of specimens,T,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-JE,E-GB,,2,carvings,Number of specimens,T,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-KR,E-GB,,1,carvings,Number of specimens,T,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-NZ,E-DE,1,,carvings,Number of specimens,T,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-RU,E-GB,,1,carvings,Number of specimens,T,O
2020,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,I-US,E-GB,,4,carvings,Number of specimens,T,O
2020,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,I-FR,E-BZ,,40,specimens,Number of specimens,S,W
2020,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,I-BL,E-IT,,8,leather products (small),,T,D
2020,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,I-CH,E-DE,,3,leather products (small),,T,D
2020,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,I-CN,E-DE,,25,skins,,T,D
2020,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,I-CN,E-IT,,1,leather products (large),,T,D
2020,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,I-CN,E-IT,,4,leather products (small),,T,D
2020,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,I-CO,E-IT,,1658,skins,,T,D
2020,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,I-CZ,E-CO,,1,skins,,T,C
2020,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,I-CZ,E-CO,,359,skins,,T,D
2020,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,I-DE,E-CO,100,100,skins,,T,D
2020,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,I-FR,E-CO,,18,skins,,T,C
2020,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,I-HK,E-DE,25,,skins,Number of specimens,T,D
2020,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,I-HK,E-IT,1,,jewellery,Number of specimens,T,D
2020,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,I-HK,E-IT,1,,leather products (small),Number of specimens,T,D
2020,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,I-IT,E-SG,,20,skins,Number of specimens,T,D
